Description,App Name,App Link
"The ClickDimensions Marketing Automation platform helps Microsoft Dynamics users worldwide achieve more with their marketing. Our marketing automation solution includes essential marketing tools like email marketing, campaign automation, web intelligence, event and SMS integrations and more, that help our customers attract more leads and close more deals. Our platform offers integrations to many event platforms, including Zoom Webinar. Once a Zoom Webinar Connector is set up, the event integration creates Event Records of upcoming or hosted webinars and Event Participation Records to track participations in these webinars and events. These records are generated automatically.",ClickDimensionsProdCA,No Link Available
"The ClickDimensions Marketing Automation platform helps Microsoft Dynamics users worldwide achieve more with their marketing. Our marketing automation solution includes essential marketing tools like email marketing, campaign automation, web intelligence, event and SMS integrations and more, that help our customers attract more leads and close more deals. Our platform offers integrations to many event platforms, including Zoom Webinar. Once a Zoom Webinar Connector is set up, the event integration creates Event Records of upcoming or hosted webinars and Event Participation Records to track participations in these webinars and events. These records are generated automatically.",ClickDimensionsProdUS,No Link Available
"The ClickDimensions Marketing Automation platform helps Microsoft Dynamics users worldwide achieve more with their marketing. Our marketing automation solution includes essential marketing tools like email marketing, campaign automation, web intelligence, event and SMS integrations and more, that help our customers attract more leads and close more deals. Our platform offers integrations to many event platforms, including Zoom Webinar. Once a Zoom Webinar Connector is set up, the event integration creates Event Records of upcoming or hosted webinars and Event Participation Records to track participations in these webinars and events. These records are generated automatically.",ClickDimensionsProdEU,No Link Available
"The ClickDimensions Marketing Automation platform helps Microsoft Dynamics users worldwide achieve more with their marketing. Our marketing automation solution includes essential marketing tools like email marketing, campaign automation, web intelligence, event and SMS integrations and more, that help our customers attract more leads and close more deals. Our platform offers integrations to many event platforms, including Zoom Webinar. Once a Zoom Webinar Connector is set up, the event integration creates Event Records of upcoming or hosted webinars and Event Participation Records to track participations in these webinars and events. These records are generated automatically.",ClickDimensionsProdAU,No Link Available
"Microsoft Defender for Cloud Apps is a part of the Microsoft Defender suite that provides rich visibility, control over data travel, and sophisticated analytics to identify and combat cyber threats across all your Microsoft and non-Microsoft cloud apps.When connecting Microsoft Defender for Cloud Apps to Zoom, you will get reach visibility to your Zoom account's activities, suspicious activity detections and misconfiguration detection. This will protect your Zoom account from compromised users, sensitive data leakage, and other cyber threats.",Microsoft Defender for Cloud Apps - EU2,No Link Available
"Microsoft Defender for Cloud Apps is a part of the Microsoft Defender suite that provides rich visibility, control over data travel, and sophisticated analytics to identify and combat cyber threats across all your Microsoft and non-Microsoft cloud apps.When connecting Microsoft Defender for Cloud Apps to Zoom, you will get reach visibility to your Zoom account's activities, suspicious activity detections and misconfiguration detection. This will protect your Zoom account from compromised users, sensitive data leakage, and other cyber threats.",Microsoft Defender for Cloud Apps - US2,No Link Available
"Microsoft Defender for Cloud Apps is a part of the Microsoft Defender suite that provides rich visibility, control over data travel, and sophisticated analytics to identify and combat cyber threats across all your Microsoft and non-Microsoft cloud apps.When connecting Microsoft Defender for Cloud Apps to Zoom, you will get reach visibility to your Zoom account's activities, suspicious activity detections and misconfiguration detection. This will protect your Zoom account from compromised users, sensitive data leakage, and other cyber threats.",Microsoft Defender for Cloud Apps - US3,No Link Available
"Microsoft Defender for Cloud Apps is a part of the Microsoft Defender suite that provides rich visibility, control over data travel, and sophisticated analytics to identify and combat cyber threats across all your Microsoft and non-Microsoft cloud apps.When connecting Microsoft Defender for Cloud Apps to Zoom, you will get reach visibility to your Zoom account's activities, suspicious activity detections and misconfiguration detection. This will protect your Zoom account from compromised users, sensitive data leakage, and other cyber threats.",Microsoft Defender for Cloud Apps - EU1,No Link Available
"Microsoft Defender for Cloud Apps is a part of the Microsoft Defender suite that provides rich visibility, control over data travel, and sophisticated analytics to identify and combat cyber threats across all your Microsoft and non-Microsoft cloud apps.When connecting Microsoft Defender for Cloud Apps to Zoom, you will get reach visibility to your Zoom account's activities, suspicious activity detections and misconfiguration detection. This will protect your Zoom account from compromised users, sensitive data leakage, and other cyber threats.",Microsoft Defender for Cloud Apps - US1,No Link Available
"Sales Copilot by Glyphic captures essential information from sales calls and transforms it into actionable insights, letting you to focus on providing the best possible experience for your customers. Glyphic integrates with your Zoom account so that your CRM is always up-to-date with the most important information discussed in every call. It allows you to prioritize follow-ups as well as action items and automates many common tasks.",Sales Copilot by Glyphic,No Link Available
"Sales Copilot by Glyphic captures essential information from sales calls and transforms it into actionable insights, letting you to focus on providing the best possible experience for your customers. Glyphic integrates with your Zoom account so that your CRM is always up-to-date with the most important information discussed in every call. It allows you to prioritize follow-ups as well as action items and automates many common tasks.",Glyphic Copilot for Zoom,No Link Available
"Sales Copilot by Glyphic captures essential information from sales calls and transforms it into actionable insights, letting you to focus on providing the best possible experience for your customers. Glyphic integrates with your Zoom account so that your CRM is always up-to-date with the most important information discussed in every call. It allows you to prioritize follow-ups as well as action items and automates many common tasks.",Sales Copilot bot by Glyphic,No Link Available
"Promote your Zoom Webinar with a gorgeous, branded event page created in Splash, and keep guest registration data updated across your CRM and marketing automation systems in minutes.Integrate Zoom Webinar with Splash to:Spin up a webinar in Zoom every time you create an event in Splash. The Splash event creator is added as the moderator of your web conference automatically.Sync all Splash event attendees to the Zoom webinar when they register. Guest email addresses are added to the list of participants for the Zoom webinar with no additional work.Update attendee statuses automatically in Splash to Checked In when guests attend your Zoom Webinar.Now you can promote and host meaningful virtual events, automate your workflow, and keep all your data connected with this simple integration.Users with a Zoom admin account can set up this integration directly from the Integrations tab in Splash.",Splash EU Webinars,No Link Available
"Promote your Zoom Webinar with a gorgeous, branded event page created in Splash, and keep guest registration data updated across your CRM and marketing automation systems in minutes.Integrate Zoom Webinar with Splash to:Spin up a webinar in Zoom every time you create an event in Splash. The Splash event creator is added as the moderator of your web conference automatically.Sync all Splash event attendees to the Zoom webinar when they register. Guest email addresses are added to the list of participants for the Zoom webinar with no additional work.Update attendee statuses automatically in Splash to Checked In when guests attend your Zoom Webinar.Now you can promote and host meaningful virtual events, automate your workflow, and keep all your data connected with this simple integration.Users with a Zoom admin account can set up this integration directly from the Integrations tab in Splash.",Splash Webinars,No Link Available
"Palo Alto Networks SaaS Security API is a security solution that connects to yoursanctioned SaaS application using the SaaS application’s API. This API integration enables the service to discover and scan all assets retroactively when you first connect the SaaS application. SaaS Security API scans and analyzes all your assets and applies policy to identify exposures, external collaborators, risky user behavior, and sensitive documents and identifies the potential risks associated with each asset.SaaS Security API also performs deep content inspection and protects both your historical assets and new assets from malware, data exposure, and data exfiltration. As SaaS Security API identifies incidents, you can assess them and define automated actions to eliminate or close the incident.",SaaS Security API for Zoom APEC,No Link Available
"Palo Alto Networks SaaS Security API is a security solution that connects to yoursanctioned SaaS application using the SaaS application’s API. This API integration enables the service to discover and scan all assets retroactively when you first connect the SaaS application. SaaS Security API scans and analyzes all your assets and applies policy to identify exposures, external collaborators, risky user behavior, and sensitive documents and identifies the potential risks associated with each asset.SaaS Security API also performs deep content inspection and protects both your historical assets and new assets from malware, data exposure, and data exfiltration. As SaaS Security API identifies incidents, you can assess them and define automated actions to eliminate or close the incident.",SaaS Security API for Zoom - US,No Link Available
"Palo Alto Networks SaaS Security API is a security solution that connects to yoursanctioned SaaS application using the SaaS application’s API. This API integration enables the service to discover and scan all assets retroactively when you first connect the SaaS application. SaaS Security API scans and analyzes all your assets and applies policy to identify exposures, external collaborators, risky user behavior, and sensitive documents and identifies the potential risks associated with each asset.SaaS Security API also performs deep content inspection and protects both your historical assets and new assets from malware, data exposure, and data exfiltration. As SaaS Security API identifies incidents, you can assess them and define automated actions to eliminate or close the incident.",SaaS Security API for Zoom - IN,No Link Available
"Palo Alto Networks SaaS Security API is a security solution that connects to yoursanctioned SaaS application using the SaaS application’s API. This API integration enables the service to discover and scan all assets retroactively when you first connect the SaaS application. SaaS Security API scans and analyzes all your assets and applies policy to identify exposures, external collaborators, risky user behavior, and sensitive documents and identifies the potential risks associated with each asset.SaaS Security API also performs deep content inspection and protects both your historical assets and new assets from malware, data exposure, and data exfiltration. As SaaS Security API identifies incidents, you can assess them and define automated actions to eliminate or close the incident.",SaaS Security API for Zoom EU,No Link Available
"Wise App is an online teaching app built for educators or teachersWise enables educators to manage their students, LMS and live classes effectively.On Wise educators canCreate cohorts or classroomsAdd students/learners across these classroomsAdd other teachers to collaborate withTake live sessions via Zoom SDKTake tests, give assignments, do discussions, take polls, etcGet detailed analytics on attendance and other student performanceWith Wise, All the aspects of online teaching are covered at one place!The specific advantages of linking Zoom with Wise areConduct your Zoom meetings under your own Zoom accountGet automated attendance after every sessionGet your meeting recordings securely stored on Wise in order to share them with your studentsNo need to share a new meeting link for every new sessionGet detailed analytics of entire organization such as total sessions, duration, etc.",Wise for Businesses,No Link Available
"Wise App is an online teaching app built for educators or teachersWise enables educators to manage their students, LMS and live classes effectively.On Wise educators canCreate cohorts or classroomsAdd students/learners across these classroomsAdd other teachers to collaborate withTake live sessions via Zoom SDKTake tests, give assignments, do discussions, take polls, etcGet detailed analytics on attendance and other student performanceWith Wise, All the aspects of online teaching are covered at one place!The specific advantages of linking Zoom with Wise areConduct your Zoom meetings under your own Zoom accountGet automated attendance after every sessionGet your meeting recordings securely stored on Wise in order to share them with your studentsNo need to share a new meeting link for every new sessionGet detailed analytics of entire organization such as total sessions, duration, etc.",Wise for Organizations,No Link Available
"The Palo Alto Networks Posture Security app allows users to understand the posture of their Zoom instance by benchmarking their configurations against best practices. When a misconfiguration is detected, a user is notified of this issue and receives guidance on how to fix it.",SaaS Security Posture Management - APAC,No Link Available
"The Palo Alto Networks Posture Security app allows users to understand the posture of their Zoom instance by benchmarking their configurations against best practices. When a misconfiguration is detected, a user is notified of this issue and receives guidance on how to fix it.",SaaS Security Posture Management SSPM - IN,No Link Available
"The Palo Alto Networks Posture Security app allows users to understand the posture of their Zoom instance by benchmarking their configurations against best practices. When a misconfiguration is detected, a user is notified of this issue and receives guidance on how to fix it.",SaaS Security Posture Management - US,No Link Available
"The Palo Alto Networks Posture Security app allows users to understand the posture of their Zoom instance by benchmarking their configurations against best practices. When a misconfiguration is detected, a user is notified of this issue and receives guidance on how to fix it.",SaaS Security Posture Management SSPM - UK,No Link Available
"The Palo Alto Networks Posture Security app allows users to understand the posture of their Zoom instance by benchmarking their configurations against best practices. When a misconfiguration is detected, a user is notified of this issue and receives guidance on how to fix it.",SaaS Security Posture Management - EU,No Link Available
"The NovoEd Zoom integration enables administrators to seamlessly incorporate Zoom meetings as live events in NovoEd learning experiences.When adding or modifying a live event, the integration will automatically create the Zoom meeting, configure options, register attendees, and update meeting details. Learners can instantly join the live event from NovoEd without needing to separately log in to Zoom. After the live event, the NovoEd Zoom integration will optionally pull in the recording and participant attendance to record completion and award points to learners who attended the Zoom session live. Note: This integration does not apply to free Zoom accounts.",NovoEd Connector - User Level,No Link Available
"The NovoEd Zoom integration enables administrators to seamlessly incorporate Zoom meetings as live events in NovoEd learning experiences.When adding or modifying a live event, the integration will automatically create the Zoom meeting, configure options, register attendees, and update meeting details. Learners can instantly join the live event from NovoEd without needing to separately log in to Zoom. After the live event, the NovoEd Zoom integration will optionally pull in the recording and participant attendance to record completion and award points to learners who attended the Zoom session live. Note: This integration does not apply to free Zoom accounts.",NovoEd Connector - Account Level,No Link Available
"This integration with easy set-up allows JobDiva users to initiate outgoing Zoom calls directly from JobDiva and to also receive incoming Zoom calls on their desktop screens.Once Zoom is set as the default VOIP service for JobDiva users, clicking on the phone dial icon next to a contact’s or candidate’s name on their JobDiva record will open a Zoom desktop app window, pre-populated with the phone number and ready to dial.This process is bi-directional; contacts and candidates will be able to call the user back and a Zoom pop-up window will appear on the user’s screen.Each call will be automatically documented in the Notes section on the contact and candidate records.",JobDiva VOIP - UK,No Link Available
"This integration with easy set-up allows JobDiva users to initiate outgoing Zoom calls directly from JobDiva and to also receive incoming Zoom calls on their desktop screens.Once Zoom is set as the default VOIP service for JobDiva users, clicking on the phone dial icon next to a contact’s or candidate’s name on their JobDiva record will open a Zoom desktop app window, pre-populated with the phone number and ready to dial.This process is bi-directional; contacts and candidates will be able to call the user back and a Zoom pop-up window will appear on the user’s screen.Each call will be automatically documented in the Notes section on the contact and candidate records.",JobDiva Voip,No Link Available
"Litmos enables thousands of global companies to deliver training in the now. The solution is comprised of a powerful LMS and a content-rich course catalog that make it easy to manage the entire learning program from system implementation and integration to ongoing administration. Litmos empowers organizations to align corporate training with the company’s most important strategic goals, while developing highly up-skilled workers who are more engaged, satisfied, and equipped to deliver the best customer experience possible.The Zoom integration with Litmos enables your instructors to seamlessly create and manage Zoom sessions as part of their Virtual Instructor Lead Training sessions as well as rapidly pull attendance from these sessions to reduce administrative workloads.",Litmos EU,No Link Available
"Litmos enables thousands of global companies to deliver training in the now. The solution is comprised of a powerful LMS and a content-rich course catalog that make it easy to manage the entire learning program from system implementation and integration to ongoing administration. Litmos empowers organizations to align corporate training with the company’s most important strategic goals, while developing highly up-skilled workers who are more engaged, satisfied, and equipped to deliver the best customer experience possible.The Zoom integration with Litmos enables your instructors to seamlessly create and manage Zoom sessions as part of their Virtual Instructor Lead Training sessions as well as rapidly pull attendance from these sessions to reduce administrative workloads.",Litmos,No Link Available
"Litmos enables thousands of global companies to deliver training in the now. The solution is comprised of a powerful LMS and a content-rich course catalog that make it easy to manage the entire learning program from system implementation and integration to ongoing administration. Litmos empowers organizations to align corporate training with the company’s most important strategic goals, while developing highly up-skilled workers who are more engaged, satisfied, and equipped to deliver the best customer experience possible.The Zoom integration with Litmos enables your instructors to seamlessly create and manage Zoom sessions as part of their Virtual Instructor Lead Training sessions as well as rapidly pull attendance from these sessions to reduce administrative workloads.",Litmos AU,No Link Available
"Sometimes customer service agents need access to back-office experts to help resolve customer issues. With Glia-Zoom Phone integration, Glia agents can seamlessly add back-office experts to the Glia ongoing engagement to help resolve the customer issues on the first call. Increase in First Call Resolution (FCR) helps improve both customer satisfaction and reduce the cost of support.With Glia-Zoom Phone integration, Gila agent can:View all your company’s Zoom Phone contacts directly in Glia - Once you integrate Zoom with Glia, all your company’s Zoom contacts that have a phone number assigned will be synchronized into Glia Contacts. Check availability of Zoom Phone contacts and add them to Glia engagements - Glia agents can see the availability of the Zoom Phone contacts directly in Glia Contacts list and add the available Zoom Phone contacts to the ongoing engagement or transfer the audio engagement to Zoom Contact.",Glia - Americas,No Link Available
"Sometimes customer service agents need access to back-office experts to help resolve customer issues. With Glia-Zoom Phone integration, Glia agents can seamlessly add back-office experts to the Glia ongoing engagement to help resolve the customer issues on the first call. Increase in First Call Resolution (FCR) helps improve both customer satisfaction and reduce the cost of support.With Glia-Zoom Phone integration, Gila agent can:View all your company’s Zoom Phone contacts directly in Glia - Once you integrate Zoom with Glia, all your company’s Zoom contacts that have a phone number assigned will be synchronized into Glia Contacts. Check availability of Zoom Phone contacts and add them to Glia engagements - Glia agents can see the availability of the Zoom Phone contacts directly in Glia Contacts list and add the available Zoom Phone contacts to the ongoing engagement or transfer the audio engagement to Zoom Contact.",Glia - Europe,No Link Available
"Any support including terms-of-use and privacy-policy is available only in Japanese.It is a reservation system that supports both online (Zoom) and offline (face-to-face).By linking with Zoom, it is possible to automatically send the Zoom link to the person who made the reservation when making a reservation.Doing so will make your business more efficient.It can be used widely regardless of the type of industry or business scale. Customization is also possible upon request.Support is also substantial, so you can use it with confidence.",reservation system,No Link Available
"Any support including terms-of-use and privacy-policy is available only in Japanese.It is a reservation system that supports both online (Zoom) and offline (face-to-face).By linking with Zoom, it is possible to automatically send the Zoom link to the person who made the reservation when making a reservation.Doing so will make your business more efficient.It can be used widely regardless of the type of industry or business scale. Customization is also possible upon request.Support is also substantial, so you can use it with confidence.",RESAPPO,No Link Available
"Recruiters who use Modern Hire to schedule and conduct Live Video interviews with candidates can now use Zoom as their video provider for these interviews. Scheduled interviews will appear on the recruiters’ corporate calendars as well as within their Zoom accounts. Modern Hire is an enterprise-grade, virtual interviewing platform that covers the entire hiring process, from AI-powered, scientifically-validated pre-hire assessments and virtual job simulations, all the way to providing live video interviewing technology and on-demand video, text or phone interview solutions. Modern Hire takes over the candidate experience post-apply to build the right hiring experience for every job.Organizations can screen, assess, schedule, interview, and evaluate candidates to identify best-fit talent. Clients can leverage our platform to build job-specific, configurable workflows comprised of both on-demand and live interactions. Candidates are empowered to self-schedule interviews and learn about your brand and company culture throughout the hiring process. Clients who wish to use Zoom for Live Video interviews can install and connect the Zoom application and request the appropriate licensing within Modern Hire.Please reach out to your Modern Hire contact for installation information and assistance.",Modern Hire - Com,No Link Available
"Recruiters who use Modern Hire to schedule and conduct Live Video interviews with candidates can now use Zoom as their video provider for these interviews. Scheduled interviews will appear on the recruiters’ corporate calendars as well as within their Zoom accounts. Modern Hire is an enterprise-grade, virtual interviewing platform that covers the entire hiring process, from AI-powered, scientifically-validated pre-hire assessments and virtual job simulations, all the way to providing live video interviewing technology and on-demand video, text or phone interview solutions. Modern Hire takes over the candidate experience post-apply to build the right hiring experience for every job.Organizations can screen, assess, schedule, interview, and evaluate candidates to identify best-fit talent. Clients can leverage our platform to build job-specific, configurable workflows comprised of both on-demand and live interactions. Candidates are empowered to self-schedule interviews and learn about your brand and company culture throughout the hiring process. Clients who wish to use Zoom for Live Video interviews can install and connect the Zoom application and request the appropriate licensing within Modern Hire.Please reach out to your Modern Hire contact for installation information and assistance.",Modern Hire - EU,No Link Available
"Introducing Varonis DA Cloud, the ultimate security platform designed exclusively for Zoom. Where remote communication plays a crucial role, protecting your sensitive information is paramount. DA Cloud provides a robust and comprehensive solution, ensuring that your Zoom meetings and data remain secure. With state-of-the-art real-time threat detection and advanced access controls, DA Cloud offers a security shield against unauthorized access, data breaches, and cyber threats.Varonis DA Cloud is also supported in the US marketplace - Varonis DA Cloud (zoom.us)", Varonis DA Cloud - CA,No Link Available
"Introducing Varonis DA Cloud, the ultimate security platform designed exclusively for Zoom. Where remote communication plays a crucial role, protecting your sensitive information is paramount. DA Cloud provides a robust and comprehensive solution, ensuring that your Zoom meetings and data remain secure. With state-of-the-art real-time threat detection and advanced access controls, DA Cloud offers a security shield against unauthorized access, data breaches, and cyber threats.Varonis DA Cloud is also supported in the US marketplace - Varonis DA Cloud (zoom.us)",Varonis DA Cloud - EU,No Link Available
"SmartRecruiters Talent Acquisition Suite is used by high-performance organizations for making the best hires. It has full functionality for recruitment marketing and collaborative hiring built on a modern cloud platform with an open marketplace for 3rd party recruitment services. SmartRecruiters' Zoom Meeting Integration automatically creates Zoom video meeting invites for interviews booked while using calendar integrations. This saves time and effort for recruiters, coordinators, and hiring managers when scheduling video interviews with candidates.For more information about SmartRecruiters, follow us at @ SmartRecruiters on LinkedIn or on https://www.smartrecruiters.com.SmartRecruiters own few separate OAuth apps on the Zoom market place, but they all provide the same features.Each region that SmartRecruiters platform provides has a separate Zoom app.- SmartRecruiters EU-AWS - is a region based in EU and hosted on AWS. https://marketplace.zoom.us/apps/oe6H4QKkQEqZyxii7vKq1A- SmartRecruiters US-AWS - is a region based in US and hosted on AWS. https://marketplace.zoom.us/apps/7DVyoKIYScSs6sWJTPIHQg- SmartRecruiters AU-AWS - is a region based in AU and hosted on AWS. https://marketplace.zoom.us/apps/l23WAseAThGM3nhZb7psiwIf you are unsure which app to use or are unable to connect, please consult your customer service manager or SmartRecruiters support.",SmartRecruiters EU-AWS,No Link Available
"SmartRecruiters Talent Acquisition Suite is used by high-performance organizations for making the best hires. It has full functionality for recruitment marketing and collaborative hiring built on a modern cloud platform with an open marketplace for 3rd party recruitment services. SmartRecruiters' Zoom Meeting Integration automatically creates Zoom video meeting invites for interviews booked while using calendar integrations. This saves time and effort for recruiters, coordinators, and hiring managers when scheduling video interviews with candidates.For more information about SmartRecruiters, follow us at @ SmartRecruiters on LinkedIn or on https://www.smartrecruiters.com.SmartRecruiters own few separate OAuth apps on the Zoom market place, but they all provide the same features.Each region that SmartRecruiters platform provides has a separate Zoom app.- SmartRecruiters EU-AWS - is a region based in EU and hosted on AWS. https://marketplace.zoom.us/apps/oe6H4QKkQEqZyxii7vKq1A- SmartRecruiters US-AWS - is a region based in US and hosted on AWS. https://marketplace.zoom.us/apps/7DVyoKIYScSs6sWJTPIHQg- SmartRecruiters AU-AWS - is a region based in AU and hosted on AWS. https://marketplace.zoom.us/apps/l23WAseAThGM3nhZb7psiwIf you are unsure which app to use or are unable to connect, please consult your customer service manager or SmartRecruiters support.",SmartRecruiters AU-AWS,No Link Available
